locality,name,PMO,slab,height (m.a.b),orientation,Scanned,Analyzed,Corresponding thin section,comment
ULV_1,7.0b,236.518a,236.518,"7,0",cross-short,,,,
ULV_1,8.0a,236.519a,236.519,"8,0",parallell,,,,
ULV_1,8.0b,236.520a,236.520,"8,0",parallell,1,1,,
ULV_1,8.0c,236.520b,236.520,"8,0",cross-short,,,,
ULV_1,8.5a,236.521a,236.521,"8,5",parallell,,,,
ULV_1,8.5b,236.522a,236.522,"8,5",cross-short,1,1,,
ULV_1,9.5a,236.523a,236.523,"9,5",cross-long,1,,,
ULV_1,9.5b,236.524a,236.524,"9,5",parallell,1,1,,
ULV_1,9.5c,236.525a,236.525,"9,5",cross-long,1,,,
ULV_1,9.5d,236.525b,236.525,"9,5",cross-long,1,1,,
ULV_2,236.533a,236.533a,236.533,"−32,0",cross-short,1,,,
ULV_2,236.533b,236.533b,236.533,"−32,0",cross-short,1,1,,
ULV_2,236.534a,236.534a,236.534,"−32,0",parallell,1,1,,
ULV_2,236.535a,236.535a,236.535,"−32,0",parallell,1,,,
ULV_2,236.536a,236.536a,236.536,"−31,0",cross-short,1,,,
ULV_2,236.537a,236.537a,236.537,"−31,0",parallell,1,1,,
ULV_2,236.538a,236.538a,236.538,"−31,0",parallell,1,,,
ULV_2,236.539a,236.539a,236.539,"−30,0",parallell,1,1,,
ULV_2,236.540a,236.540a,236.540,"−30,0",cross-short,1,,,
ULV_2,236.540b,236.540b,236.540,"−30,0",cross-short,1,,,
ULV_2,236.541a,236.541a,236.541,"−29,0",cross-short,1,1,,
ULV_2,236.542a,236.542a,236.542,"−29,0",parallell,1,,,
ULV_2,236.543a,236.543a,236.543,"−28,0",parallell,1,1,,
ULV_2,236.544a,236.544a,236.544,"−28,0",cross-short,1,,,
ULV_2,236.545a,236.545a,236.545,"−27,0",cross-short,1,,,
ULV_2,236.546a,236.546a,236.546,"−27,0",parallell,1,1,,
ULV_2,236.547a,236.547a,236.547,"−26,0",parallell,1,1,,
ULV_2,236.548a,236.548a,236.548,"−26,0",parallell,1,1,,
ULV_2,236.549a,236.549a,236.549,"−25,0",parallell,1,1,,
ULV_2,236.550a,236.550a,236.550,"−25,0",cross-short,1,,,
ULV_2,236.551a,236.551a,236.551,"−24,0",cross-short,1,,,
ULV_2,236.552a,236.552a,236.552,"−24,0",parallell,1,1,,
ULV_2,236.553a,236.553a,236.553,"−23,0",cross-short,1,1,,
ULV_2,236.554a,236.554a,236.554,"−23,0",cross-short,1,?,,poor peel
ULV_2,236.555a,236.555a,236.555,"−23,0",parallell,1,1,,
ULV_2,236.556a,236.556a,236.556,"−21,5",cross-long,1,1,,
ULV_2,236.557a,236.557a,236.557,"−21,5",cross-short,1,1,,
ULV_2,236.558a,236.558a,236.558,"−22,0",parallell,1,?,,Very large rug. cor.
ULV_2,236.559a,236.559a,236.559,"−22,0",cross-short,1,1,,
ULV_2,236.560a,236.560a,236.560,"−22,0",cross-long,1,1,,
ULV_2,236.561a,236.561a,236.561,"−21,0",cross-short,1,?,,poor peel
ULV_2,236.562a,236.562a,236.562,"−21,0",parallell,1,1,,
ULV_2,236.563a,236.563a,236.563,"−21,0",parallell,1,1,,
ULV_2,236.564a,236.564a,236.564,"−20,0",cross-short,1,1,,
ULV_2,236.565a,236.565a,236.565,"−20,0",parallell,1,1,,
ULV_2,236.566a,236.566a,236.566,"−19,0",cross-long,1,1,,
ULV_2,236.567a,236.567a,236.567,"−19,0",parallell,1,1,,
ULV_2,236.568a,236.568a,236.568,"−19,0",cross-short,1,1,,
ULV_2,236.569a,236.569a,236.569,"−18,0",parallell,1,1,,
ULV_2,236.570a,236.570a,236.570,"−18,0",cross-short,1,1,,
ULV_2,236.571a,236.571a,236.571,"−17,0",cross-short,1,1,,
ULV_2,236.572a,236.572a,236.572,"−17,0",parallell,1,1,,
ULV_2,236.573a,236.573a,236.573,"−16,5",cross-short,1,1,,
ULV_2,236.574a,236.574a,236.574,"−16,5",parallell,1,1,,
ULV_2,236.575a,236.575a,236.575,"−16,0",cross-short,1,1,,
ULV_2,236.576a,236.576a,236.576,"−15,0",parallell,1,1,,
ULV_2,236.577a,236.577a,236.577,"−15,0",cross-short,1,1,,
ULV_2,236.578a,236.578a,236.578,"−14,0",cross-short,,,,
ULV_2,236.579a,236.579a,236.579,"−14,0",parallell,,,,
ULV_2,236.580a,236.580a,236.580,"−13,0",cross-short,1,1,,
ULV_2,236.581a,236.581a,236.581,"−13,0",parallell,1,1,,
ULV_2,236.582a,236.582a,236.582,"−12,0",cross-short,1,1,,
ULV_2,236.583a,236.583a,236.583,"−12,0",parallell,1,1,,
ULV_2,236.584a,236.584a,236.584,"−11,0",parallell,1,1,,
ULV_2,236.585a,236.585a,236.585,"−11,0",parallell,1,1,,
ULV_2,236.586a,236.586a,236.586,"−10,0",parallell,,,,
ULV_2,236.587a,236.587a,236.587,"−10,0",cross-short,1,1,,
ULV_2,236.588a,236.588a,236.588,"−9,0",parallell,1,1,,
ULV_2,236.589a,236.589a,236.589,"−9,0",parallell,1,1,,
ULV_2,236.590a,236.590a,236.590,"−8,0",parallell,1,1,,
ULV_2,236.591a,236.591a,236.591,"−8,0",cross-long,,,,
ULV_2,236.592a,236.592a,236.592,"−7,0",parallell,1,1,,
ULV_2,236.593a,236.593a,236.593,"−7,0",cross-short,1,1,,
ULV_2,236.594a,236.594a,236.594,"−6,5",parallell,,,,
ULV_2,236.595a,236.595a,236.595,"−6,5",cross-short,1,1,,
ULV_2,236.596a,236.596a,236.596,"−5,5",parallell,1,1,,
ULV_2,236.597a,236.597a,236.597,"−5,5",cross-short,1,1,,
ULV_2,236.598a,236.598a,236.598,"−5,0",cross-short,1,1,,
ULV_2,236.598b,236.598b,236.598,"−5,0",cross-short,1,1,,
ULV_2,236.599a,236.599a,236.599,"−5,0",cross-short,1,1,,
ULV_2,236.599b,236.599b,236.599,"−5,0",parallell,1,1,,Large stromatoporid
ULV_2,236.600a,236.600a,236.600,"−4,0",parallell,1,1,,
ULV_2,236.601a,236.601a,236.601,"−4,0",cross-short,1,1,,
ULV_2,236.602a,236.602a,236.602,"−4,0",parallell,1,1,,
ULV_2,236.603a,236.603a,236.603,"−4,0",cross-short,1,1,,
ULV_2,236.604a,236.604a,236.604,"−3,5",parallell,1,1,,
ULV_2,236.605a,236.605a,236.605,"−3,5",cross-short,1,1,,
ULV_2,236.606a,236.606a,236.606,"−2,5",cross-short,1,1,,
ULV_2,236.607a,236.607a,236.607,"−2,5",parallell,1,1,,
ULV_2,236.608a,236.608a,236.608,"0,5",unknown,1,1,,
ULV_2,236.609a,236.609a,236.609,"0,5",unknown,1,1,,
,,,,,,,,,
,,,,,,,,,
SUM,,244,199,,246,226,156,,
